2016-05-27 11:04:28 status unpacked base-passwd:armhf 3.5.37
2016-05-27 11:04:28 status half-installed base-passwd:armhf 3.5.37
2016-05-27 11:04:28 status half-installed base-passwd:armhf 3.5.37
2016-05-27 11:04:28 status unpacked base-passwd:armhf 3.5.37
2016-05-27 11:04:28 status unpacked base-passwd:armhf 3.5.37
2016-05-27 11:04:28 install bash:armhf <none> 4.3-11
2016-05-27 11:04:28 status half-installed bash:armhf 4.3-11
2016-05-27 11:04:29 status unpacked bash:armhf 4.3-11
2016-05-27 11:04:29 status unpacked bash:armhf 4.3-11
2016-05-27 11:04:29 install bsdutils:armhf <none> 1:2.25.2-6
2016-05-27 11:04:29 status half-installed bsdutils:armhf 1:2.25.2-6
2016-05-27 11:04:29 status unpacked bsdutils:armhf 1:2.25.2-6
2016-05-27 11:04:29 status unpacked bsdutils:armhf 1:2.25.2-6
2016-05-27 11:04:29 install coreutils:armhf <none> 8.23-4
2016-05-27 11:04:29 status half-installed coreutils:armhf 8.23-4
2016-05-27 11:04:30 status unpacked coreutils:armhf 8.23-4
2016-05-27 11:04:30 status unpacked coreutils:armhf 8.23-4
2016-05-27 11:04:30 install cpio:armhf <none> 2.11+dfsg-4.1+deb8u1
2016-05-27 11:04:30 status half-installed cpio:armhf 2.11+dfsg-4.1+deb8u1
2016-05-27 11:04:31 status unpacked cpio:armhf 2.11+dfsg-4.1+deb8u1
2016-05-27 11:04:31 status unpacked cpio:armhf 2.11+dfsg-4.1+deb8u1
2016-05-27 11:04:31 install dash:armhf <none> 0.5.7-4
2016-05-27 11:04:31 status half-installed dash:armhf 0.5.7-4
2016-05-27 11:04:31 status unpacked dash:armhf 0.5.7-4
2016-05-27 11:04:31 status unpacked dash:armhf 0.5.7-4
2016-05-27 11:04:31 upgrade debconf:all 1.5.56 1.5.56
2016-05-27 11:04:31 status half-configured debconf:all 1.5.56
2016-05-27 11:04:32 status unpacked debconf:all 1.5.56
2016-05-27 11:04:32 status half-installed debconf:all 1.5.56
2016-05-27 11:04:32 status half-installed debconf:all 1.5.56
2016-05-27 11:04:32 status unpacked debconf:all 1.5.56
2016-05-27 11:04:32 status unpacked debconf:all 1.5.56
2016-05-27 11:04:32 install debconf-i18n:all <none> 1.5.56
2016-05-27 11:04:32 status half-installed debconf-i18n:all 1.5.56
2016-05-27 11:04:32 status unpacked debconf-i18n:all 1.5.56
2016-05-27 11:04:32 status unpacked debconf-i18n:all 1.5.56
2016-05-27 11:04:32 install debianutils:armhf <none> 4.4
2016-05-27 11:04:32 status half-installed debianutils:armhf 4.4
2016-05-27 11:04:32 status unpacked debianutils:armhf 4.4
2016-05-27 11:04:32 status unpacked debianutils:armhf 4.4
2016-05-27 11:04:32 install diffutils:armhf <none> 1:3.3-1
2016-05-27 11:04:32 status half-installed diffutils:armhf 1:3.3-1
2016-05-27 11:04:33 status unpacked diffutils:armhf 1:3.3-1
2016-05-27 11:04:33 status unpacked diffutils:armhf 1:3.3-1
2016-05-27 11:04:33 install dmsetup:armhf <none> 2:1.02.90-2.2
2016-05-27 11:04:33 status half-installed dmsetup:armhf 2:1.02.90-2.2
2016-05-27 11:04:33 status unpacked dmsetup:armhf 2:1.02.90-2.2
2016-05-27 11:04:33 status unpacked dmsetup:armhf 2:1.02.90-2.2
2016-05-27 11:04:33 upgrade dpkg:armhf 1.17.26 1.17.26
2016-05-27 11:04:33 status half-configured dpkg:armhf 1.17.26
2016-05-27 11:04:33 status unpacked dpkg:armhf 1.17.26
2016-05-27 11:04:33 status half-installed dpkg:armhf 1.17.26
2016-05-27 11:04:33 status half-installed dpkg:armhf 1.17.26
2016-05-27 11:04:33 status unpacked dpkg:armhf 1.17.26
2016-05-27 11:04:33 status unpacked dpkg:armhf 1.17.26
2016-05-27 11:04:33 install e2fslibs:armhf <none> 1.42.12-1.1
2016-05-27 11:04:33 status half-installed e2fslibs:armhf 1.42.12-1.1
2016-05-27 11:04:34 status unpacked e2fslibs:armhf 1.42.12-1.1
2016-05-27 11:04:34 status unpacked e2fslibs:armhf 1.42.12-1.1
2016-05-27 11:04:34 install e2fsprogs:armhf <none> 1.42.12-1.1
2016-05-27 11:04:34 status half-installed e2fsprogs:armhf 1.42.12-1.1
2016-05-27 11:04:34 status unpacked e2fsprogs:armhf 1.42.12-1.1
2016-05-27 11:04:34 status unpacked e2fsprogs:armhf 1.42.12-1.1
2016-05-27 11:04:34 install findutils:armhf <none> 4.4.2-9
2016-05-27 11:04:34 status half-installed findutils:armhf 4.4.2-9
2016-05-27 11:04:35 status unpacked findutils:armhf 4.4.2-9
2016-05-27 11:04:35 status unpacked findutils:armhf 4.4.2-9
2016-05-27 11:04:35 install gcc-4.6-base:armhf <none> 4.6.4-5+rpi1
2016-05-27 11:04:35 status half-installed gcc-4.6-base:armhf 4.6.4-5+rpi1
2016-05-27 11:04:35 status unpacked gcc-4.6-base:armhf 4.6.4-5+rpi1
2016-05-27 11:04:35 status unpacked gcc-4.6-base:armhf 4.6.4-5+rpi1
